Name;Kategorie;Beschreibung
Standort;;
ID_Bediengebiet;;
StartTarifrelevanterpunkt;;
Startpunktliste;;
Zielpunktliste;;
AD.StartTarifpunkteAnzeige;;
AD.ZielTarifpunkteAnzeige;;
ZielTarifrelevanterpunkt;;
StartRelationscode;;
ZielRelationscode;;
Vialiste;;
